"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Delino DeShields","Indians","27.3%","68.1%","44.4%","56.3%","82.0%","72.9%","42.0%","59.2%","12.1%","11379"
"Jackie Bradley Jr.","Red Sox","27.3%","69.4%","45.1%","65.2%","82.4%","76.4%","42.2%","55.3%","10.6%","12984"
"Max Kepler","Twins","27.4%","68.8%","44.8%","59.0%","93.7%","81.4%","42.1%","61.2%","8.3%","12144"
"Dylan Carlson","Cardinals","27.4%","59.4%","40.9%","57.7%","81.3%","72.1%","42.1%","57.1%","11.4%","20126"
"Dwight Smith Jr.","Orioles","27.4%","59.7%","40.8%","56.5%","85.9%","74.4%","41.5%","56.9%","10.5%","13473"
"Vladimir Guerrero Jr.","Blue Jays","27.4%","77.4%","47.9%","61.2%","84.0%","76.3%","40.9%","57.2%","11.4%","19611"
"Hunter Dozier","Royals","27.4%","65.9%","41.9%","49.2%","85.6%","70.7%","37.7%","56.5%","12.3%","15117"
"Santiago Espinal","Blue Jays","27.5%","73.4%","48.9%","66.7%","86.8%","80.8%","46.6%","65.2%","9.4%","19997"
"Adam Frazier","Pirates","27.5%","71.0%","45.8%","74.5%","90.5%","84.9%","42.0%","57.8%","6.9%","15223"
"George Springer","Astros","27.5%","77.3%","47.5%","60.7%","85.1%","76.7%","40.2%","59.0%","11.1%","12856"
"Kole Calhoun","Diamondbacks","27.5%","74.6%","46.8%","49.3%","78.3%","68.2%","41.1%","53.1%","14.9%","11200"
"Max Stassi","Angels","27.6%","69.9%","47.0%","59.3%","82.8%","75.3%","45.9%","66.7%","11.6%","10059"
"Jorge Polanco","Twins","27.6%","65.3%","43.6%","73.4%","90.8%","84.5%","42.5%","55.8%","6.8%","13152"
"Taylor Ward","Angels","27.6%","65.5%","44.5%","51.7%","92.1%","78.2%","44.5%","58.8%","9.7%","17548"
"Tyler Heineman","Giants","27.7%","62.8%","44.4%","57.7%","96.3%","83.8%","47.8%","66.0%","7.2%","13897"
"Eli White","Rangers","27.7%","71.3%","48.4%","64.5%","79.2%","74.8%","47.4%","59.6%","12.2%","19346"
